file1,file2,bottleneck_distance
091,054,7.28490447998047
091,040,8.64382171630859
091,068,4.35018920898438
091,069,4.41804504394531
091,041,9.34618377685547
091,055,6.76285171508789
091,082,3.20501327514648
091,096,3.27014923095703
091,109,10.1606750488281
091,080,4.73557281494141
091,094,2.90304565429688
091,043,9.73540496826172
091,057,6.29279327392578
091,056,6.86381530761719
091,042,8.86061859130859
091,095,3.03400802612305
091,081,4.26443481445312
091,019,10.1941833496094
091,025,7.85320281982422
091,031,4.6555061340332
091,030,4.98638725280762
091,024,7.78120422363281
091,018,10.8395233154297
091,032,6.07282638549805
091,026,6.05662536621094
091,027,4.98233985900879
091,033,5.38616561889648
091,037,6.79497909545898
091,023,7.58690643310547
091,022,9.27117919921875
091,036,8.31219100952148
091,020,9.92288208007812
091,034,6.75553512573242
091,008,11.61083984375
091,009,11.6276512145996
091,035,7.68623352050781
091,021,8.64192199707031
091,038,7.87511444091797
091,004,11.9339370727539
091,010,11.8177528381348
091,011,12.101619720459
091,005,11.8557415008545
091,039,9.23089599609375
091,013,9.81814193725586
091,007,11.5078887939453
091,006,11.4815139770508
091,012,12.5302848815918
091,016,11.4106597900391
091,002,11.6510887145996
091,003,11.6862144470215
091,017,11.1403045654297
091,001,11.8142013549805
091,015,11.2620162963867
091,029,4.88625717163086
091,028,5.0772590637207
091,014,11.0271759033203
091,000,11.6891250610352
091,107,9.16751098632812
091,098,4.57255554199219
091,067,4.50309753417969
091,073,6.24297332763672
091,072,5.93634796142578
091,066,5.02864837646484
091,099,4.54095458984375
091,106,8.26966094970703
091,104,7.88505554199219
091,110,10.1519813537598
091,058,5.00310897827148
091,070,4.63794708251953
091,064,2.62957835197449
091,065,4.17778015136719
091,071,4.72919464111328
091,059,3.96281051635742
091,111,10.9890365600586
091,105,8.05662536621094
091,101,3.84033966064453
091,075,5.14264297485352
091,061,3.50714874267578
091,049,8.62294006347656
091,048,8.13183212280273
091,060,4.52363586425781
091,074,5.29080963134766
091,100,10.1492156982422
091,102,5.75584411621094
091,089,3.63847351074219
091,062,3.91019058227539
091,076,5.43080902099609
091,077,5.86772155761719
091,063,2.40686416625977
091,088,5.07850646972656
091,103,5.17599487304688
046,052,11.1336822509766
046,053,12.2767524719238
046,047,3.84273529052734
046,090,11.1844787597656
046,084,15.1613540649414
046,092,10.7890930175781
046,086,14.9615325927734
046,079,16.1816864013672
046,051,12.1541213989258
046,045,7.02666473388672
046,044,6.66410446166992
046,050,13.3567924499512
046,078,16.5362396240234
046,087,14.2776260375977
046,093,11.2817687988281
046,108,6.7172737121582
046,097,10.4781341552734
046,083,14.0158538818359
046,054,12.4640960693359
046,040,8.22380447387695
046,068,15.0730743408203
046,069,15.222526550293
046,041,7.98815155029297
046,055,11.9420433044434
046,082,13.2254257202148
046,096,14.0746307373047
046,109,6.75082778930664
046,080,15.5400543212891
046,094,12.6037826538086
046,043,6.32555770874023
046,057,14.223030090332
046,056,12.7899856567383
046,042,5.93854141235352
046,095,12.73828125
046,081,15.0689163208008
046,019,2.75776672363281
046,025,6.41075134277344
046,031,6.4686279296875
046,030,6.00281524658203
046,024,9.35688018798828
046,018,3.86190795898438
046,032,6.81459045410156
046,026,8.35066223144531
046,027,7.80180358886719
046,033,7.40345001220703
046,037,6.98501586914062
046,023,7.86159515380859
046,022,6.20146942138672
046,036,8.18190383911133
046,020,3.56036376953125
046,034,7.5482177734375
046,008,14.3271484375
046,009,17.2196941375732
046,035,8.3629150390625
046,021,4.80150604248047
046,038,7.74482727050781
046,004,11.9339370727539
046,010,17.2196941375732
046,011,11.9713325500488
046,005,14.5494155883789
046,039,9.10060882568359
046,013,9.6878547668457
046,007,17.2196941375732
046,006,15.892219543457
046,012,11.2393913269043
046,016,4.73361968994141
046,002,17.2196941375732
046,003,16.8837661743164
046,017,3.33814239501953
046,001,17.2196941375732
046,015,5.17495727539062
046,029,7.01686859130859
046,028,7.47504425048828
046,014,5.05039978027344
046,000,17.2196941375732
046,107,6.75767517089844
